ligand,siRNA,CellCount,Replicate,Motility,CytoplasmicSize,NearestNeighbor,Similarity
EGF,CEBPB,2.0163934426229506,1,10.037224047830236,2234.5,1.3325110650344147,1.087891509618755
EGF,CEBPD,3.0262503883193537,1,8.124872156199183,1356,1.3754822972824248,0.8727917634197615
EGF,CTNNB1,2.842983939137785,1,7.785512390115329,1377,1.3542365916094314,0.9403311495163622
EGF,EPAS1,3.0495446920680567,1,11.005195404335751,1179,1.3329473072364562,0.8012278769889555
EGF,FOSL2,2.6921560898699255,1,8.974645169,1380.5,1.3424173240719592,1.0561640415681717
EGF,HIF1A,2.9296791443850267,1,11.00537881521463,1126,1.3882794813265908,1.0630345811520798
EGF,JUN,2.6467556094602793,1,5.4564240906923285,1499.5,1.3723345975864334,0.7312426312240748
EGF,JUNB,2.5774519125283404,1,7.685174311,1155,1.2595469757309423,1.083764273354496
EGF,NFKB1,2.6523227027814187,1,7.090558599682522,1185,1.3471481151022284,0.9148480517931435
EGF,SCR,3.0925260170293285,1,8.292298363071902,1106.5,1.3699394913610816,1
EGF,SP1,1.422192513368984,1,11.74990250908144,1065,1.2599742400946243,1.0553363929520296
EGF,STAT3,2.7331871345029244,1,11.75010288697788,1112,1.3922554591387004,0.5659850252060712
EGF,TIMP1,2.932071141709696,1,10.418587116315052,1205,1.3332903270766736,1.000206008155519
EGF,TP73,2.526399716513111,1,7.067794588,1222,1.343147754819896,0.9573477873959708
EGF,VEGFA,3.019066286528867,1,7.582951197867751,1119,1.340879573,0.8004344459289742
IFNG,CEBPB,2.3255528255528257,1,15.560705585912055,1884,1.3842872112564897,0.9895652076936468
IFNG,CEBPD,2.7693372414916135,1,11.44967970491047,1185,1.3606345083013385,0.9092933433669492
IFNG,CTNNB1,2.5559268016860286,1,10.426213954137026,1150,1.3641878525395508,1.0009016197541358
IFNG,EPAS1,2.7189516129032256,1,11.752324110491168,961,1.3633330465079636,0.819311675
IFNG,FOSL2,2.607250898090376,1,14.436590875926235,1067,1.3477803992490425,1.058572358754535
IFNG,HIF1A,2.667497451002606,1,13.992942256979653,938,1.3527853687769271,1.117718104247397
IFNG,JUN,2.5861863354037267,1,8.007908873612259,1293,1.318402103210066,0.9734004746901987
IFNG,JUNB,2.639477503628447,1,10.040724371886109,1080.5,1.311175254899154,0.8916591092628033
IFNG,NFKB1,2.7586206896551726,1,8.182335748,1104,1.2623159801593211,1.1735115474395004
IFNG,SCR,2.99,1,9.897082548736176,1023,1.3746249882666544,1
IFNG,SP1,1.5546509929906542,1,14.666448780386268,895.5,1.2706482420495435,1.1206648762655749
IFNG,STAT3,2.2724994303941672,1,18.256643932017333,867,1.4136263986481212,0.7881713767937001
IFNG,TIMP1,2.7058823529411766,1,11.4746148,1128,1.263032994644108,1.2190976186037057
IFNG,TP73,2.434161573212862,1,8.486009373202547,1191.5,1.311717876261629,1.222248290749639
IFNG,VEGFA,2.809512578616352,1,11.362230529608262,971.5,1.3806673150835596,0.7858516453243329
OSM,CEBPB,2.2242998490692605,1,11.912281352925069,1469,1.238753542563777,1.1502402455492629
OSM,CEBPD,2.935772727272727,1,10.138366575772231,947,1.1796763697493078,0.6873997424210104
OSM,CTNNB1,2.648039215686275,1,6.808033062406845,940,1.340837185689914,0.5509928743519291
OSM,EPAS1,2.9665057165057167,1,9.718220016055025,923,1.298671408246236,0.7477787184947159
OSM,FOSL2,2.349386980965928,1,8.051908877,946,1.1399414800855452,0.9872456010295464
OSM,HIF1A,2.494047619047619,1,8.563739062,871.5,2.6813713024448926,0.6803468683852262
OSM,JUN,2.3907987437399205,1,4.981298652632367,992,1.213448984342521,0.7639228784872264
OSM,JUNB,2.276190476190476,1,6.098690153499748,896,1.1539860523182948,0.7178484345217044
OSM,NFKB1,1.818844351900052,1,5.7140842893489925,749.5,1.069418442904422,0.8285351212932139
OSM,SCR,2.4322051936994464,1,7.042073057793868,829.5,1.1953621205594445,1
