Symbol,Name
ACOT6,acyl-CoA thioesterase 6
ADM,adrenomedullin
AGPAT5,1-acylglycerol-3-phosphate O-acyltransferase 5
AHNAK,AHNAK nucleoprotein
AKAP10,A kinase (PRKA) anchor protein 10
AKAP12,A kinase (PRKA) anchor protein 12
AKR1E2,"aldo-keto reductase family 1, member E2"
ALDOA,"aldolase A, fructose-bisphosphate"
ALDOC,"aldolase C, fructose-bisphosphate"
ALKBH5,"AlkB family member 5, RNA demethylase"
ALOXE3,arachidonate lipoxygenase 3
ANGPTL4,angiopoietin-like 4
ANKRD37,ankyrin repeat domain 37
ANKZF1,ankyrin repeat and zinc finger domain containing 1
ANO6,anoctamin 6
ARID1B,AT rich interactive domain 1B (SWI1-like)
ARRDC3,arrestin domain containing 3
ATP9A,"ATPase, class II, type 9A"
BACE2,beta-site APP-cleaving enzyme 2
BCAS4,breast carcinoma amplified sequence 4
BCCIP,BRCA2 and CDKN1A interacting protein
BCL2L2,BCL2-like 2
BHLHE40,"basic helix-loop-helix family, member e40"
BHLHE41,"basic helix-loop-helix family, member e41"
BLCAP,bladder cancer associated protein
BMP4,bone morphogenetic protein 4
BRK1,"BRICK1, SCAR/WAVE actin-nucleating complex subunit"
BZW1,basic leucine zipper and W2 domains 1
C11ORF30,chromosome 11 open reading frame 30
C11ORF49,chromosome 11 open reading frame 49
C1D,C1D nuclear receptor corepressor
C1ORF116,chromosome 1 open reading frame 116
C1ORF27,chromosome 1 open reading frame 27
C2ORF42,chromosome 2 open reading frame 42
C3ORF14,chromosome 3 open reading frame 14
C8ORF58,chromosome 8 open reading frame 58
CA9,carbonic anhydrase IX
CAV1,"caveolin 1, caveolae protein, 22kDa"
CCNG2,cyclin G2
CCNL1,cyclin L1
CDC73,cell division cycle 73
CECR5,"cat eye syndrome chromosome region, candidate 5"
CGA,"glycoprotein hormones, alpha polypeptide"
CHD2,chromodomain helicase DNA binding protein 2
CIART,circadian associated repressor of transcription
CITED2,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
CLDN14,claudin 14
CLIC6,chloride intracellular channel 6
CLK3,CDC-like kinase 3
CLN5,"ceroid-lipofuscinosis, neuronal 5"
COX20,COX20 cytochrome c oxidase assembly factor
CRKL,v-crk avian sarcoma virus CT10 oncogene homolog-like
CTDSP1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1"
CUX1,cut-like homeobox 1
CYP1B1,"cytochrome P450, family 1, subfamily B, polypeptide 1"
DAAM1,dishevelled associated activator of morphogenesis 1
DAB2IP,DAB2 interacting protein
DAPK2,death-associated protein kinase 2
DARS,aspartyl-tRNA synthetase
DAZL,deleted in azoospermia-like
DDIT4,DNA-damage-inducible transcript 4
DDX50,DEAD (Asp-Glu-Ala-Asp) box polypeptide 50
DENND1A,DENN/MADD domain containing 1A
DHCR7,7-dehydrocholesterol reductase
DHRS13,dehydrogenase/reductase (SDR family) member 13
DNAJB6,"DnaJ (Hsp40) homolog, subfamily B, member 6"
DNASE1,deoxyribonuclease I
DNM2,dynamin 2
DPT,dermatopontin
DSP,desmoplakin
DYNLL1,"dynein, light chain, LC8-type 1"
DYRK1B,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1B
EGFR,epidermal growth factor receptor
EGLN3,egl-9 family hypoxia-inducible factor 3
ELF3,"E74-like factor 3 (ets domain transcription factor, epithelial-specific )"
ELL2,"elongation factor, RNA polymerase II, 2"
ELMSAN1,ELM2 and Myb/SANT-like domain containing 1
EMP3,epithelial membrane protein 3
ENO1,"enolase 1, (alpha)"
ERRFI1,ERBB receptor feedback inhibitor 1
EVL,Enah/Vasp-like
