MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		response to hypoxia			ISO	RGD:620948 	J:155856 	
MGI:1098623	Acaa2	acetyl-CoA acyltransferase 2	18		cellular response to hypoxia			ISO	P42765 	J:164563 	
MGI:2159605	Acot2	acyl-CoA thioesterase 2	12		response to hypoxia			ISO	RGD:621055 	J:155856 	
MGI:87916	Ada	adenosine deaminase	2		response to hypoxia			ISO	RGD:2031 	J:155856 	
MGI:87916	Ada	adenosine deaminase	2		response to hypoxia			ISO	P00813 	J:164563 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		cellular response to hypoxia			ISO	P78325 	J:164563 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		response to hypoxia			ISO	P78536 	J:164563 	
MGI:2685083	Ado	2-aminoethanethiol dioxygenase	10		cellular response to hypoxia			ISO	Q96SZ5 	J:164563 	
MGI:99401	Adora1	adenosine A1 receptor	1		response to hypoxia			ISO	RGD:2048 	J:155856 	
MGI:87938	Adrb2	adrenergic receptor, beta 2	18		cellular response to hypoxia			ISO	RGD:2060 	J:155856 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		response to hypoxia	happens in aortic endothelial cell		IMP	MGI:2451038 	J:149031 	
MGI:1341886	Ajuba	ajuba LIM protein	14		regulation of cellular response to hypoxia			ISO	Q96IF1 	J:164563 	
MGI:1341886	Ajuba	ajuba LIM protein	14		response to hypoxia			IBA	PTN001198456 	J:265628 	
MGI:1341886	Ajuba	ajuba LIM protein	14		response to hypoxia			ISO	Q96IF1 	J:164563 	
MGI:87979	Ak4	adenylate kinase 4	4		cellular response to hypoxia			ISO	P27144 	J:164563 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		cellular response to hypoxia			ISO	RGD:2081 	J:155856 	
MGI:87990	Alas2	aminolevulinic acid synthase 2, erythroid	X		response to hypoxia			ISO	P22557 	J:164563 	
MGI:1353451	Aldh3a1	aldehyde dehydrogenase family 3, subfamily A1	11		response to hypoxia			ISO	RGD:2088 	J:155856 	
MGI:2144489	Alkbh5	alkB homolog 5, RNA demethylase	11		response to hypoxia			ISO	Q6P6C2 	J:164563 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		response to hypoxia			ISO	P03950 	J:164563 	
MGI:104984	Ang2	angiogenin, ribonuclease A family, member 2	14		response to hypoxia			ISO	P03950 	J:164563 	
MGI:1201793	Ang3	angiogenin, ribonuclease A family, member 3	14		response to hypoxia			ISO	P03950 	J:164563 	
MGI:2656551	Ang4	angiogenin, ribonuclease A family, member 4	14		response to hypoxia			ISO	P03950 	J:164563 	
MGI:3528599	Ang5	angiogenin, ribonuclease A family, member 5	14		response to hypoxia			ISO	P03950 	J:164563 	
MGI:3528602	Ang6	angiogenin, ribonuclease A family, member 6	14		response to hypoxia			ISO	P03950 	J:164563 	
MGI:103201	Aqp1	aquaporin 1	6		cellular response to hypoxia			ISO	P29972 	J:164563 	
MGI:1333777	Aqp3	aquaporin 3	4		cellular response to hypoxia			ISO	Q92482 	J:206664 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3		response to hypoxia			IDA		J:35141 	
MGI:88071	Arnt	aryl hydrocarbon receptor nuclear translocator	3		response to hypoxia			ISO	P27540 	J:164563 	
MGI:107188	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	7		response to hypoxia			ISO	Q9HBZ2 	J:164563 	
MGI:107188	Arnt2	aryl hydrocarbon receptor nuclear translocator 2	7		response to hypoxia			TAS		J:81291 	
MGI:109349	Atf2	activating transcription factor 2	2		intrinsic apoptotic signaling pathway in response to hypoxia	is a part of apoptotic process		IMP	MGI:1857283 	J:118986 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		response to hypoxia			ISO	RGD:1593265 	J:155856 	
MGI:88108	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	1		response to hypoxia			ISO	RGD:2170 	J:155856 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		cellular response to hypoxia			IBA	PTN002004009 	J:265628 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		cellular response to hypoxia			IDA		J:29779 	
MGI:1197009	Birc2	baculoviral IAP repeat-containing 2	9		response to hypoxia			ISO	RGD:620690 	J:155856 	
MGI:88177	Bmp2	bone morphogenetic protein 2	2		response to hypoxia			IMP	MGI:1857894 	J:157651 	
MGI:88184	Bmyc	brain expressed myelocytomatosis oncogene	2		cellular response to hypoxia			ISO	P01106 	J:164563 	
MGI:109326	Bnip3	BCL2/adenovirus E1B interacting protein 3	7		cellular response to hypoxia			ISO	Q12983 	J:73065 	
MGI:109326	Bnip3	BCL2/adenovirus E1B interacting protein 3	7		intrinsic apoptotic signaling pathway in response to hypoxia			ISO	Q12983 	J:164563 	
MGI:109326	Bnip3	BCL2/adenovirus E1B interacting protein 3	7		response to hypoxia			ISO	RGD:620800 	J:155856 	
MGI:1332659	Bnip3l	BCL2/adenovirus E1B interacting protein 3-like	14		cellular response to hypoxia			ISO	O60238 	J:73065 	
MGI:1341265	Camk2d	calcium/calmodulin-dependent protein kinase II, delta	3		response to hypoxia			ISO	RGD:2263 	J:155856 	
MGI:88259	Camk2g	calcium/calmodulin-dependent protein kinase II gamma	14		response to hypoxia			ISO	RGD:621802 	J:155856 	
MGI:96544	Casp1	caspase 1	9		response to hypoxia			IMP	MGI:1927822 	J:88212 	
MGI:96544	Casp1	caspase 1	9		response to hypoxia			ISO	RGD:2274 	J:155856 	
MGI:88271	Cat	catalase	2		response to hypoxia			ISO	RGD:2279 	J:155856 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		response to hypoxia	happens in leg blood vessel		IMP	MGI:2154537 	J:122233 	
MGI:1338013	Cbfa2t3	CBFA2/RUNX1 translocation partner 3	8		response to hypoxia			ISO	O75081 	J:164563 	
MGI:88285	Cbs	cystathionine beta-synthase	17		cellular response to hypoxia			ISO	RGD:2287 	J:155856 	
MGI:88323	Cd24a	CD24a antigen	10		response to hypoxia			ISS	P25063 	J:125599 	
MGI:107474	Cd38	CD38 antigen	5		response to hypoxia			ISO	RGD:2303 	J:155856 	
MGI:1261428	Chchd2	coiled-coil-helix-coiled-coil-helix domain containing 2	5		regulation of cellular response to hypoxia			ISO	Q9Y6H1 	J:164563 	
MGI:3649942	Chchd2-ps	coiled-coil-helix-coiled-coil-helix domain containing 2, pseudogene	4		regulation of cellular response to hypoxia			ISO	Q9Y6H1 	J:164563 	
MGI:87888	Chrna4	cholinergic receptor, nicotinic, alpha polypeptide 4	2		response to hypoxia			ISO	P43681 	J:164563 	
MGI:87891	Chrnb2	cholinergic receptor nicotinic beta 2 subunit	3		response to hypoxia			IMP	MGI:1926253 	J:102005 	
MGI:87891	Chrnb2	cholinergic receptor nicotinic beta 2 subunit	3		response to hypoxia			ISO	P17787 	J:164563 	
MGI:1914813	Ciao3	cytosolic iron-sulfur assembly component 3	17		response to hypoxia			ISO	Q9H6Q4 	J:164563 	
MGI:1306784	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	10		negative regulation of transcription from RNA polymerase II promoter in response to hypoxia			ISO	Q99967 	J:164563 	
MGI:1306784	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	10		response to hypoxia			ISO	Q99967 	J:164563 	
MGI:1306784	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	10		response to hypoxia			ISS	Q99967-1 	J:52216 	
MGI:109474	Commd1	COMM domain containing 1	11		negative regulation of hypoxia-inducible factor-1alpha signaling pathway			IMP	MGI:3714157 	J:122208 	
MGI:108442	Cpeb1	cytoplasmic polyadenylation element binding protein 1	7		cellular response to hypoxia			IDA		J:204958 	
MGI:108442	Cpeb1	cytoplasmic polyadenylation element binding protein 1	7		cellular response to hypoxia			ISO	Q9BZB8 	J:164563 	
MGI:2442640	Cpeb2	cytoplasmic polyadenylation element binding protein 2	5		cellular response to hypoxia			IDA		J:204958 	
MGI:2442640	Cpeb2	cytoplasmic polyadenylation element binding protein 2	5		cellular response to hypoxia			ISO	Q7Z5Q1 	J:164563 	
MGI:88513	Cr1l	complement C3b/C4b receptor 1 like	1		cellular response to hypoxia			IDA		J:163254 	
MGI:88498	Crhr1	corticotropin releasing hormone receptor 1	11		response to hypoxia			ISO	RGD:61276 	J:155856 	
MGI:88515	Cryaa	crystallin, alpha A	17		response to hypoxia			IMP	MGI:1858025 	J:132494 	
MGI:88516	Cryab	crystallin, alpha B	9		response to hypoxia			IMP	MGI:2652177 	J:132494 	
MGI:88574	Cybb	cytochrome b-245, beta polypeptide	X		hypoxia-inducible factor-1alpha signaling pathway			ISO	RGD:620574 	J:155856 	
MGI:1197015	Daxx	Fas death domain-associated protein	17		negative regulation of cellular response to hypoxia			ISO	RGD:621227 	J:155856 	
MGI:1916469	Ddah1	dimethylarginine dimethylaminohydrolase 1	3		negative regulation of cellular response to hypoxia			ISO	O94760 	J:164563 	
MGI:1921997	Ddit4	DNA-damage-inducible transcript 4	10		response to hypoxia			IBA	PTN002647592 	J:265628 	
MGI:1921997	Ddit4	DNA-damage-inducible transcript 4	10		response to hypoxia			IMP		J:131386 	
MGI:1921997	Ddit4	DNA-damage-inducible transcript 4	10		response to hypoxia			ISO	RGD:621731 	J:155856 	
MGI:1921997	Ddit4	DNA-damage-inducible transcript 4	10		response to hypoxia			ISO	Q9NX09 	J:164563 	
MGI:1261827	Dnmt3a	DNA methyltransferase 3A	12		positive regulation of cellular response to hypoxia			ISO	RGD:1303336 	J:155856 	
MGI:94919	Dpp4	dipeptidylpeptidase 4	2		response to hypoxia			ISO	P27487 	J:164563 	
MGI:99578	Drd1	dopamine receptor D1	13		negative regulation of cellular response to hypoxia			ISO	RGD:2518 	J:155856 	
MGI:94924	Drd2	dopamine receptor D2	9		negative regulation of cellular response to hypoxia			ISO	RGD:2520 	J:155856 	
MGI:94924	Drd2	dopamine receptor D2	9		response to hypoxia			ISO	RGD:2520 	J:155856 	
MGI:1101357	Ece1	endothelin converting enzyme 1	4		response to hypoxia			ISO	RGD:620293 	J:155856 	
MGI:95283	Edn1	endothelin 1	13		response to hypoxia			IMP	MGI:1857637 	J:34053 	
